Country,State,District,Category,Sub_Category,Year,Total_Crimes
Malaysia,Malaysia,All,assault,all,1/1/2021,11495
Malaysia,Malaysia,All,assault,all,1/1/2022,10348
Malaysia,Malaysia,All,assault,all,1/1/2023,10453
Malaysia,Malaysia,All,assault,causing_injury,1/1/2021,4063
Malaysia,Malaysia,All,assault,causing_injury,1/1/2022,3807
Malaysia,Malaysia,All,assault,causing_injury,1/1/2023,3693
Malaysia,Malaysia,All,assault,murder,1/1/2021,243
Malaysia,Malaysia,All,assault,murder,1/1/2022,240
Malaysia,Malaysia,All,assault,murder,1/1/2023,258
Malaysia,Malaysia,All,assault,rape,1/1/2021,1553
Malaysia,Malaysia,All,assault,rape,1/1/2022,1712
Malaysia,Malaysia,All,assault,rape,1/1/2023,1914
Malaysia,Malaysia,All,assault,robbery_gang_armed,1/1/2021,5
Malaysia,Malaysia,All,assault,robbery_gang_armed,1/1/2022,16
Malaysia,Malaysia,All,assault,robbery_gang_armed,1/1/2023,30
Malaysia,Malaysia,All,assault,robbery_gang_unarmed,1/1/2021,3071
Malaysia,Malaysia,All,assault,robbery_gang_unarmed,1/1/2022,2432
Malaysia,Malaysia,All,assault,robbery_gang_unarmed,1/1/2023,2578
Malaysia,Malaysia,All,assault,robbery_solo_armed,1/1/2021,2
Malaysia,Malaysia,All,assault,robbery_solo_armed,1/1/2022,7
Malaysia,Malaysia,All,assault,robbery_solo_armed,1/1/2023,13
Malaysia,Malaysia,All,assault,robbery_solo_unarmed,1/1/2021,2558
Malaysia,Malaysia,All,assault,robbery_solo_unarmed,1/1/2022,2134
Malaysia,Malaysia,All,assault,robbery_solo_unarmed,1/1/2023,1967
Malaysia,Malaysia,All,property,all,1/1/2021,41479
Malaysia,Malaysia,All,property,all,1/1/2022,40465
Malaysia,Malaysia,All,property,all,1/1/2023,41991
Malaysia,Malaysia,All,property,break_in,1/1/2021,11352
Malaysia,Malaysia,All,property,break_in,1/1/2022,10585
Malaysia,Malaysia,All,property,break_in,1/1/2023,11557
Malaysia,Malaysia,All,property,theft_other,1/1/2021,16695
Malaysia,Malaysia,All,property,theft_other,1/1/2022,15434
Malaysia,Malaysia,All,property,theft_other,1/1/2023,15837
Malaysia,Malaysia,All,property,theft_vehicle_lorry,1/1/2021,639
Malaysia,Malaysia,All,property,theft_vehicle_lorry,1/1/2022,718
Malaysia,Malaysia,All,property,theft_vehicle_lorry,1/1/2023,764
Malaysia,Malaysia,All,property,theft_vehicle_motorcar,1/1/2021,2849
Malaysia,Malaysia,All,property,theft_vehicle_motorcar,1/1/2022,3271
Malaysia,Malaysia,All,property,theft_vehicle_motorcar,1/1/2023,3245
Malaysia,Malaysia,All,property,theft_vehicle_motorcycle,1/1/2021,9944
Malaysia,Malaysia,All,property,theft_vehicle_motorcycle,1/1/2022,10457
Malaysia,Malaysia,All,property,theft_vehicle_motorcycle,1/1/2023,10588
Malaysia,Johor,All,assault,all,1/1/2021,925
Malaysia,Johor,All,assault,all,1/1/2022,973
Malaysia,Johor,All,assault,all,1/1/2023,1228
Malaysia,Johor,All,assault,causing_injury,1/1/2021,365
Malaysia,Johor,All,assault,causing_injury,1/1/2022,333
Malaysia,Johor,All,assault,causing_injury,1/1/2023,366
Malaysia,Johor,All,assault,murder,1/1/2021,21
Malaysia,Johor,All,assault,murder,1/1/2022,30
Malaysia,Johor,All,assault,murder,1/1/2023,31
Malaysia,Johor,All,assault,rape,1/1/2021,144
Malaysia,Johor,All,assault,rape,1/1/2022,147
Malaysia,Johor,All,assault,rape,1/1/2023,194
